ASXCode,CompanyName,ListingDate,GICsIndustryGroup
HTM,High-Tech Metals Ltd,,Class Pend
HUB,Hub24 Limited,5/07/2007,Diversified Financials
HUM,Humm Group Limited,12/12/2006,Diversified Financials
HVM,Happy Valley Nutrition Limited,23/01/2020,"Food, Beverage & Tobacco"
HVN,Harvey Norman Holdings Limited,3/09/1987,Retailing
HVY,Heavy Minerals Limited,14/09/2021,Materials
HXG,Hexagon Energy Materials Limited,30/10/2008,Materials
HXL,Hexima Limited.,1/12/2020,"Pharmaceuticals, Biotechnology & Life Sciences"
HYD,Hydrix Limited,11/05/2001,Technology Hardware & Equipment
HYT,Hyterra Ltd,14/12/2005,Energy
HZN,Horizon Oil Limited,30/06/1981,Energy
HZR,Hazer Group Limited,2/12/2015,Materials
IAG,Insurance Australia Group Limited,8/08/2000,Insurance
IAM,Income Asset Management Group Limited.,14/01/1987,Diversified Financials
IBC,Ironbark Capital Limited,2/04/1987,Not Applic
IBG,Ironbark Zinc Ltd,16/08/2006,Materials
IBX,Imagion Biosystems Limited,22/06/2017,Health Care Equipment & Services
ICE,Icetana Limited,23/12/2019,Software & Services
ICG,Inca Minerals Limited,19/06/2008,Materials
ICI,Icandy Interactive Limited,4/02/2016,Media & Entertainment
ICL,Iceni Gold Limited,14/04/2021,Materials
ICN,Icon Energy Limited,22/09/1997,Energy
ICR,Intelicare Holdings Limited,25/05/2020,Health Care Equipment & Services
ICS,Icsglobal Limited,23/12/1999,Health Care Equipment & Services
ICT,Icollege Limited,24/08/2009,Consumer Services
ID8,Identitii Limited,17/10/2018,Software & Services
IDA,Indiana Resources Limited,17/07/1986,Materials
IDT,Idt Australia Limited,18/02/1991,"Pharmaceuticals, Biotechnology & Life Sciences"
IDX,Integral Diagnostics Limited,21/10/2015,Health Care Equipment & Services
IEC,Intra Energy Corporation Limited,4/07/2007,Energy
IEL,Idp Education Limited,26/11/2015,Consumer Services
IEQ,International Equities Corporation Limited.,11/03/1993,Real Estate
IFL,Insignia Financial Ltd,5/12/2003,Diversified Financials
IFM,Infomedia Ltd,16/08/2000,Software & Services
IFT,Infratil Limited.,30/08/2010,Utilities
IG6,International Graphite Limited,7/04/2022,Capital Goods
IGL,Ive Group Limited,16/12/2015,Media & Entertainment
IGN,Ignite Limited,16/01/1997,Commercial & Professional Services
IGO,Igo Limited,17/01/2002,Materials
IHL,Incannex Healthcare Limited,23/05/2007,"Pharmaceuticals, Biotechnology & Life Sciences"
IHR,Intellihr Limited,23/01/2018,Software & Services
IIQ,Inoviq Ltd,18/04/1991,Health Care Equipment & Services
IKE,Ikegps Group Limited,21/11/2016,Technology Hardware & Equipment
IKW,Ikwezi Mining Limited,19/07/2011,Energy
ILA,Island Pharmaceuticals Limited,13/04/2021,"Pharmaceuticals, Biotechnology & Life Sciences"
ILU,Iluka Resources Limited,30/06/1962,Materials
IMA,Image Resources Nl,4/07/2002,Materials
IMB,Intelligent Monitoring Group Limited,3/03/1994,Commercial & Professional Services
IMC,Immuron Limited,30/04/1999,"Pharmaceuticals, Biotechnology & Life Sciences"
IMD,Imdex Limited,24/09/1987,Materials
IME,Imexhs Limited,14/12/2005,Health Care Equipment & Services
IMI,Infinity Mining Limited,22/12/2021,Materials
IMM,Immutep Limited,23/06/1988,"Pharmaceuticals, Biotechnology & Life Sciences"
IMR,Imricor Medical Systems Inc.,30/08/2019,Health Care Equipment & Services
IMS,Impelus Limited,11/05/2000,Media & Entertainment
IMU,Imugene Limited,24/11/1993,"Pharmaceuticals, Biotechnology & Life Sciences"
INA,Ingenia Communities Group,1/07/2004,Real Estate
IND,Industrial Minerals Ltd,13/07/2021,Materials
INF,Infinity Lithium Corporation Limited,15/04/2011,Materials
ING,Inghams Group Limited,7/11/2016,"Food, Beverage & Tobacco"
INL,Innlanz Limited,22/02/2019,Retailing
INP,Incentiapay Limited,9/09/2014,Retailing
INR,Ioneer Ltd,19/12/2007,Materials
INV,Investsmart Group Limited,21/04/2005,Diversified Financials
IOD,Iodm Limited,18/11/2003,Software & Services
IOU,Ioupay Limited,12/10/2000,Media & Entertainment
IPB,Ipb Petroleum Limited,30/04/2013,Energy
IPC,Imperial Pacific Limited,28/07/1971,Diversified Financials
IPD,Impedimed Limited,24/10/2007,Health Care Equipment & Services
IPG,Ipd Group Ltd,17/12/2021,Capital Goods
IPH,Iph Limited,19/11/2014,Commercial & Professional Services
IPL,Incitec Pivot Limited,28/07/2003,Materials
IPT,Impact Minerals Limited,29/11/2006,Materials
IPX,Iperionx Limited,16/04/2018,Materials
IR1,Iris Metals Limited,23/09/2021,Materials
IRD,Iron Road Limited,12/06/2008,Materials
IRE,Iress Limited,3/11/2000,Software & Services
IRI,Integrated Research Limited,13/12/2000,Software & Services
IRX,Inhalerx Limited,11/01/2017,Health Care Equipment & Services
IS3,I Synergy Group Limited,30/03/2017,Software & Services
ISU,Iselect Limited.,24/06/2013,Consumer Services
ITM,Itech Minerals Ltd,21/10/2021,Materials
IVC,Invocare Limited,4/12/2003,Consumer Services
IVO,Invigor Group Limited,3/12/1999,Media & Entertainment
IVR,Investigator Resources Ltd,3/04/2007,Materials
IVT,Inventis Limited,14/04/1999,Commercial & Professional Services
IVX,Invion Limited,15/02/2010,"Pharmaceuticals, Biotechnology & Life Sciences"
IVZ,Invictus Energy Ltd,19/01/2012,Energy
IXC,Invex Therapeutics Ltd,5/07/2019,"Pharmaceuticals, Biotechnology & Life Sciences"
IXR,Ionic Rare Earths Limited,10/12/1999,Materials
IXU,Ixup Limited,15/11/2017,Software & Services
JAL,Jameson Resources Limited,18/12/2007,Materials
JAN,Janison Education Group Limited,12/09/2000,Software & Services
JAT,Jatcorp Limited,30/01/2008,Retailing
JAV,Javelin Minerals Limited,9/10/2012,Materials
JAY,Jayride Group Limited,29/01/2018,Retailing
JBH,Jb Hi-Fi Limited,23/10/2003,Retailing
JCS,Jcurve Solutions Ltd,8/12/2000,Software & Services
JDO,Judo Capital Holdings Limited,1/11/2021,Banks
JGH,Jade Gas Holdings Limited,13/02/1995,Materials
JHG,Janus Henderson Group Plc,27/10/2008,Diversified Financials
JHX,James Hardie Industries Plc,15/10/2001,Materials
JIN,Jumbo Interactive Limited,14/06/1972,Consumer Services
JLG,Johns Lyng Group Limited,26/10/2017,Capital Goods
JMS,Jupiter Mines Limited.,18/04/2018,Materials
JNO,Juno Minerals Limited,14/05/2021,Materials
JPR,Jupiter Energy Limited,12/11/2003,Energy
JRL,Jindalee Resources Limited,11/07/2002,Materials
JRV,Jervois Global Limited,1/12/1980,Materials
JTL,Jayex Technology Limited,17/12/2015,Health Care Equipment & Services
JXT,Jaxsta Ltd,21/09/2010,Software & Services
JYC,Joyce Corporation Ltd,17/12/1986,Retailing
K2F,K2Fly Limited,19/02/2008,Software & Services
KAI,Kairos Minerals Limited,30/05/1973,Materials
KAL,Kalgoorlie Gold Mining Limited,17/11/2021,Materials
KAM,K2 Asset Management Holdings Ltd,29/11/2007,Diversified Financials
KAR,Karoon Energy Ltd,8/06/2004,Energy
KAT,Katana Capital Limited,23/12/2005,Not Applic
KAU,Kaiser Reef Limited,28/02/2020,Materials
KBC,Keybridge Capital Limited,23/12/1999,Diversified Financials
KCC,Kincora Copper Limited,30/03/2021,Materials
KCN,Kingsgate Consolidated Limited.,21/04/1988,Materials
KED,Keypath Education International Inc.,2/06/2021,Consumer Services
KEY,Key Petroleum Limited,26/04/2007,Energy
KFE,Kogi Iron Limited,16/01/1987,Materials
KFM,Kingfisher Mining Ltd,11/12/2020,Materials
KGD,Kula Gold Limited,16/11/2010,Materials
KGL,Kgl Resources Limited,17/03/2005,Materials
KGN,Kogan.Com Ltd,7/07/2016,Retailing
KIL,Kiland Ltd,8/07/2002,Materials
KIN,Kin Mining Nl,2/10/2013,Materials
KKC,Kkr Credit Income Fund,21/11/2019,Not Applic
KKO,Kinetiko Energy Ltd,21/07/2011,Energy
KLI,Killi Resources Limited,10/02/2022,Class Pend
KLL,Kalium Lakes Limited,22/12/2016,Materials
KLO,Kingsland Global Ltd,11/12/2015,Real Estate
KLR,Kaili Resources Limited,6/03/1997,Energy
KLS,Kelsian Group Limited,16/10/2013,Consumer Services
KMD,Kmd Brands Limited,13/11/2009,Retailing
KME,Kip Mcgrath Education Centres Limited,15/08/2003,Consumer Services
KNB,Koonenberry Gold Limited,28/09/2021,Materials
KNG,Kingsland Minerals Ltd,14/06/2022,Materials
KNI,Kuniko Limited,24/08/2021,Materials
KNM,Kneomedia Limited,24/06/1987,Media & Entertainment
KNO,Knosys Limited,9/09/2015,Software & Services
KOB,Koba Resources Limited,4/05/2022,Materials
KOR,Korab Resources Limited,31/08/2005,Materials
KOV,Korvest Ltd,17/09/1970,Capital Goods
KP2,Kore Potash Plc,7/11/2017,Materials
KPG,Kelly Partners Group Holdings Limited,21/06/2017,Commercial & Professional Services
KPO,Kalina Power Limited,2/08/1971,Utilities
KRM,Kingsrose Mining Limited,7/12/2007,Materials
KRR,King River Resources Limited,21/09/2007,Materials
KSC,K & S Corporation Limited,25/08/1971,Transportation
KSL,Kina Securities Limited,30/07/2015,Banks
KSN,Kingston Resources Limited,5/03/1987,Materials
KSS,Kleos Space S.A,24/08/2018,Commercial & Professional Services
KTA,Krakatoa Resources Limited,28/12/2012,Materials
KTG,K-Tig Limited,1/11/2012,Capital Goods
KWR,Kingwest Resources Limited,24/08/2018,Materials
KYP,Kinatico Ltd,8/09/2015,Software & Services
KZA,Kazia Therapeutics Limited,1/09/1994,"Pharmaceuticals, Biotechnology & Life Sciences"
KZR,Kalamazoo Resources Limited,16/01/2017,Materials
L1M,Lightning Minerals Ltd,,Materials
LAM,Laramide Resources Ltd,30/04/2013,Energy
LAU,Lindsay Australia Limited,5/07/1994,Transportation
LAW,Lawfinance Limited,12/05/2000,Diversified Financials
LBL,Laserbond Limited,17/12/2007,Capital Goods
LBT,Lbt Innovations Limited,31/07/2006,Health Care Equipment & Services
LBY,Laybuy Group Holdings Limited,7/09/2020,Software & Services
LCE,London City Equities Limited,6/03/1987,Diversified Financials
LCL,Los Cerros Limited,2/10/2007,Materials
LCT,Living Cell Technologies Limited,1/09/2004,"Pharmaceuticals, Biotechnology & Life Sciences"
LCY,Legacy Iron Ore Limited,8/07/2008,Materials
LDR,Lode Resources Ltd,2/07/2021,Materials
LDX,Lumos Diagnostics Holdings Limited,5/07/2021,Health Care Equipment & Services
LEG,Legend Mining Limited,25/08/1995,Materials
LEL,Lithium Energy Limited,19/05/2021,Materials
LER,Leaf Resources Ltd,5/01/1999,Materials
LEX,Lefroy Exploration Limited,5/09/1991,Materials
LFG,Liberty Financial Group,15/12/2020,Banks
LFS,Latitude Group Holdings Limited,20/04/2021,Diversified Financials
LGI,Lgi Limited,4/10/2022,Utilities
LGL,Lynch Group Holdings Limited,6/04/2021,"Food, Beverage & Tobacco"
LGM,Legacy Minerals Holdings Limited,13/09/2021,Materials
LGP,Little Green Pharma Ltd,20/02/2020,"Pharmaceuticals, Biotechnology & Life Sciences"
LHM,Land & Homes Group Limited,5/10/2004,Real Estate
LIC,Lifestyle Communities Limited,15/12/1998,Real Estate
LIN,Lindian Resources Limited,2/03/2000,Materials
LIO,Lion Energy Limited,15/02/1972,Energy
LIS,Li-S Energy Limited,28/09/2021,Capital Goods
LIT,Lithium Australia Limited,30/10/2007,Materials
LKE,Lake Resources N.L.,29/08/2001,Materials
LKO,Lakes Blue Energy Nl,5/12/1985,Energy
LKY,Locksley Resources Limited,8/07/2021,Materials
LLC,Lendlease Group,30/06/1962,Real Estate
LLI,Loyal Lithium Limited,6/07/2021,Materials
LLL,Leo Lithium Limited,23/06/2022,Materials
LLO,Lion One Metals Limited,7/06/2013,Materials
LM8,Lunnon Metals Limited,16/06/2021,Materials
LME,Limeade Inc.,20/12/2019,Software & Services
LMG,Latrobe Magnesium Limited,18/12/1986,Materials
LML,Lincoln Minerals Limited,9/03/2007,Materials
LNK,Link Administration Holdings Limited,27/10/2015,Software & Services
LNR,Lanthanein Resources Ltd,9/04/2003,Materials
LNU,Linius Technologies Limited,26/07/2011,Software & Services
LOM,Lucapa Diamond Company Limited,19/12/2006,Materials
LOT,Lotus Resources Limited,18/02/2009,Materials
LOV,Lovisa Holdings Limited,18/12/2014,Retailing
LPD,Lepidico Ltd,19/04/1994,Materials
LPE,Locality Planning Energy Holdings Limited,11/10/2011,Utilities
LPI,Lithium Power International Limited,24/06/2016,Materials
LPM,Lithium Plus Minerals Ltd.,26/04/2022,Materials
LRD,Lord Resources Limited,7/04/2022,Materials
LRK,Lark Distilling Co. Ltd,12/11/2003,"Food, Beverage & Tobacco"
LRL,Labyrinth Resources Limited,28/07/1971,Materials
LRS,Latin Resources Limited,21/09/2010,Materials
LRT,Lowell Resources Fund,22/03/2018,Not Applic
LRV,Larvotto Resources Limited,6/12/2021,Materials
LSA,Lachlan Star Limited,28/07/1971,Materials
LSF,L1 Long Short Fund Limited,24/04/2018,Not Applic
LSR,Lodestar Minerals Limited,21/12/2007,Materials
LSX,Lion Selection Group Limited.,13/03/2013,Not Applic
LTR,Liontown Resources Limited,27/12/2006,Materials
LV1,Live Verdure Ltd,14/12/2020,"Food, Beverage & Tobacco"
LVE,Love Group Global Ltd,5/12/2014,Software & Services
LVH,Livehire Limited,10/06/2016,Software & Services
LVT,Livetiles Limited,17/08/1999,Software & Services
LYC,Lynas Rare Earths Limited,11/09/1986,Materials
LYK,Lykos Metals Limited,21/10/2021,Materials
LYL,Lycopodium Limited,17/12/2004,Capital Goods
LYN,Lycaon Resources Ltd,17/11/2021,Materials
M24,Mamba Exploration Limited,5/02/2021,Materials
M2M,Mt Malcolm Mines Nl,10/09/2021,Materials
M2R,Miramar Resources Limited,22/10/2020,Materials
M3M,M3 Mining Limited,29/07/2021,Materials
M7T,Mach7 Technologies Limited,30/11/2005,Health Care Equipment & Services
M8S,M8 Sustainable Limited,11/12/2019,Commercial & Professional Services
MAD,Mader Group Limited,1/10/2019,Commercial & Professional Services
MAF,Ma Financial Group Limited,10/04/2017,Diversified Financials
MAG,Magmatic Resources Limited,19/05/2017,Materials
MAH,Macmahon Holdings Limited,1/12/1983,Materials
MAM,Microequities Asset Management Group Limited,30/04/2018,Diversified Financials
MAN,Mandrake Resources Limited,29/05/1987,Materials
MAP,Microba Life Sciences Limited,5/04/2022,Health Care Equipment & Services
MAQ,Macquarie Telecom Group Limited,27/09/1999,Telecommunication Services
MAT,Matsa Resources Limited,20/04/2005,Materials
MAU,Magnetic Resources Nl,5/04/2007,Materials
MAUCA,Magnetic Resources Nl,5/04/2007,Materials
MAY,Melbana Energy Limited,27/03/1998,Energy
MBH,Maggie Beer Holdings Ltd,27/08/2004,"Food, Beverage & Tobacco"
MBK,Metal Bank Limited,2/03/2011,Materials
MBX,My Foodie Box Limited,7/01/2022,Food & Staples Retailing
MCA,Murray Cod Australia Limited,30/03/2011,"Food, Beverage & Tobacco"
MCE,Matrix Composites & Engineering Limited,16/11/2009,Energy
MCL,Mighty Craft Limited,17/12/2019,Consumer Services
MCM,Mc Mining Limited,24/04/1980,Energy
MCP,Mcpherson'S Limited,30/06/1962,Household & Personal Products
MCR,Mincor Resources Nl,16/06/1997,Materials
MCT,Metalicity Limited,21/12/2005,Materials
MCX,Mariner Corporation Limited,20/06/1986,Diversified Financials
MCY,Mercury Nz Limited,10/05/2013,Utilities
MDC,Medlab Clinical Limited,14/07/2015,"Pharmaceuticals, Biotechnology & Life Sciences"
MDI,Middle Island Resources Limited,16/12/2010,Materials
MDR,Medadvisor Limited,26/05/2011,Health Care Equipment & Services
MDX,Mindax Limited,8/12/2004,Materials
MEA,Mcgrath Limited,7/12/2015,Real Estate
MEB,Medibio Limited,29/01/2001,Health Care Equipment & Services
MEC,Morphic Ethical Equities Fund Limited,3/05/2017,Diversified Financials
MEG,Megado Minerals Ltd,27/10/2020,Materials
MEI,Meteoric Resources Nl,16/07/2004,Materials
MEK,Meeka Metals Limited,21/12/1999,Materials
MEL,Metgasco Ltd,23/12/2004,Energy
MEM,Memphasys Limited.,14/05/2007,"Pharmaceuticals, Biotechnology & Life Sciences"
MEU,Marmota Limited,21/11/2007,Energy
MEZ,Meridian Energy Limited,29/10/2013,Utilities
MFB,My Food Bag Group Limited,5/03/2021,Retailing
MFD,Mayfield Childcare Limited,30/11/2016,Consumer Services
MFF,Mff Capital Investments Limited,19/12/2006,Not Applic
MFG,Magellan Financial Group Limited,1/07/2004,Diversified Financials
MGA,Metalsgrove Mining Ltd,6/07/2022,Materials
MGF,Magellan Global Fund.,30/11/2020,Not Applic
MGG,Mogul Games Group Ltd,19/10/2011,Media & Entertainment
MGH,Maas Group Holdings Limited,4/12/2020,Capital Goods
MGL,Magontec Limited,7/07/1983,Materials
MGR,Mirvac Group,16/06/1999,Real Estate
MGT,Magnetite Mines Limited.,6/04/2006,Materials
MGU,Magnum Mining And Exploration Limited,23/04/1987,Materials
MGV,Musgrave Minerals Limited,29/04/2011,Materials
MGX,Mount Gibson Iron Limited,12/02/1976,Materials
MHC,Manhattan Corporation Limited,29/01/2008,Energy
MHI,Merchant House International Limited,31/10/1994,Consumer Durables & Apparel
MHJ,Michael Hill International Limited,7/07/2016,Retailing
MHK,Metal Hawk Limited.,19/11/2020,Materials
MI6,Minerals 260 Limited,12/10/2021,Materials
MIH,Mnc Media Investment Ltd,13/09/2013,Media & Entertainment
MIL,Millennium Services Group Limited,19/11/2015,Commercial & Professional Services
MIN,Mineral Resources Limited,28/07/2006,Materials
MIO,Macarthur Minerals Limited,6/12/2019,Materials
MIR,Mirrabooka Investments Limited,28/06/2001,Not Applic
MKG,Mako Gold Limited,16/04/2018,Materials
MKL,Mighty Kingdom Limited,21/04/2021,Media & Entertainment
MKM,Mackerel Metals Limited,,Class Pend
MKR,Manuka Resources Ltd.,14/07/2020,Materials
MLG,Mlg Oz Limited,4/05/2021,Materials
MLM,Metallica Minerals Limited,23/11/2004,Materials
MLS,Metals Australia Ltd,23/01/1986,Materials
MLX,Metals X Limited,26/08/2004,Materials
MM1,Midas Minerals Ltd,7/09/2021,Materials
MM8,Medallion Metals Limited.,22/03/2021,Materials
MMA,Maronan Metals Limited,29/04/2022,Materials
MMC,Mitre Mining Corporation Limited,30/09/2021,Materials
MME,Moneyme Limited,12/12/2019,Diversified Financials
MMI,Metro Mining Limited,4/12/2009,Materials
MMM,Marley Spoon Ag,2/07/2018,Consumer Services
MMR,Mec Resources Limited,29/05/2006,Energy
MMS,Mcmillan Shakespeare Limited,15/03/2004,Commercial & Professional Services
MNB,Minbos Resources Limited,18/10/2010,Materials
MND,Monadelphous Group Limited,28/03/1991,Capital Goods
MNS,Magnis Energy Technologies Ltd,25/10/2005,Materials
MNY,Money3 Corporation Limited,19/10/2006,Diversified Financials
MOB,Mobilicom Limited,2/05/2017,Technology Hardware & Equipment
MOH,Moho Resources Limited,7/11/2018,Materials
MOM,Moab Minerals Limited,15/01/1987,Materials
MOQ,Moq Limited,19/12/2000,Software & Services
MOT,Metrics Income Opportunities Trust,29/04/2019,Not Applic
MOV,Move Logistics Group Limited,1/07/2022,Transportation
MOZ,Mosaic Brands Limited,11/05/2000,Retailing
MP1,Megaport Limited,17/12/2015,Software & Services
MPA,Mad Paws Holdings Limited,26/03/2021,Retailing
MPG,Many Peaks Gold Limited,16/03/2022,Materials
MPL,Medibank Private Limited,25/11/2014,Insurance
MPP,Metro Performance Glass Limited,30/07/2014,Capital Goods
MPR,Mpower Group Limited,1/01/1974,Diversified Financials
MPX,Mustera Property Group Limited,28/11/2014,Real Estate
MQG,Macquarie Group Limited,5/11/2007,Diversified Financials
MQR,Marquee Resources Limited,15/03/2017,Materials
MR1,Montem Resources Limited.,15/09/2020,Materials
MRC,Mineral Commodities Ltd,14/08/1981,Materials
MRD,Mount Ridley Mines Limited,15/09/2004,Materials
MRG,Murray River Organics Group Limited,16/12/2016,"Food, Beverage & Tobacco"
MRI,My Rewards International Limited,11/02/2022,Commercial & Professional Services
MRIN,My Rewards International Limited,11/02/2022,Commercial & Professional Services
MRL,Mayur Resources Limited,21/09/2017,Materials
MRM,Mma Offshore Limited,21/06/1999,Energy
MRQ,Mrg Metals Limited,8/06/2011,Materials
MRR,Minrex Resources Limited,11/11/2011,Materials
MRZ,Mont Royal Resources Limited,7/05/2019,Materials
MSB,Mesoblast Limited,16/12/2004,"Pharmaceuticals, Biotechnology & Life Sciences"
MSG,Mcs Services Limited,17/01/2012,Commercial & Professional Services
MSI,Multistack International Limited,11/02/1993,Capital Goods
MSL,Msl Solutions Limited.,4/05/2017,Software & Services
MSV,Mitchell Services Limited,2/08/2011,Materials
MTB,Mount Burgess Mining Nl,5/09/1985,Materials
MTC,Metalstech Limited,24/02/2017,Materials
MTH,Mithril Resources Limited,18/11/2002,Materials
MTM,Mt Monger Resources Limited,15/07/2021,Materials
MTO,Motorcycle Holdings Limited,29/04/2016,Retailing
MTR,Metal Tiger Plc,27/05/2021,Materials
MTS,Metcash Limited,8/04/2005,Food & Staples Retailing
MVF,Monash Ivf Group Limited,26/06/2014,Health Care Equipment & Services
MVL,Marvel Gold Limited,14/06/2016,Materials
MVP,Medical Developments International Limited,15/12/2003,"Pharmaceuticals, Biotechnology & Life Sciences"
MWY,Midway Limited,8/12/2016,Materials
MX1,Micro-X Limited,22/12/2015,Health Care Equipment & Services
MXC,Mgc Pharmaceuticals Ltd,21/12/2006,"Pharmaceuticals, Biotechnology & Life Sciences"
MXI,Maxiparts Limited,7/12/1994,Capital Goods
MXO,Motio Ltd,9/05/2011,Media & Entertainment
MXR,Maximus Resources Limited,26/10/2005,Materials
MXT,Metrics Master Income Trust,9/10/2017,Not Applic
MYE,Metarock Group Limited,7/05/2010,Materials
MYG,Mayfield Group Holdings Limited,30/10/1986,Capital Goods
MYL,Mallee Resources Limited,3/12/2007,Materials
MYR,Myer Holdings Limited,2/11/2009,Retailing
MYS,Mystate Limited,10/09/2009,Banks
MYX,Mayne Pharma Group Limited,29/06/2007,"Pharmaceuticals, Biotechnology & Life Sciences"
MZZ,Matador Mining Limited,8/03/2017,Materials
N1H,N1 Holdings Limited,18/03/2016,Banks
NAB,National Australia Bank Limited,31/01/1962,Banks
NAC,Naos Ex-50 Opportunities Company Limited,12/11/2014,Not Applic
NAE,New Age Exploration Limited,18/02/1994,Energy
NAG,Nagambie Resources Limited,23/06/2006,Materials
NAM,Namoi Cotton Limited,6/04/1998,Commercial & Professional Services
NAN,Nanosonics Limited,17/05/2007,Health Care Equipment & Services
NBI,Nb Global Corporate Income Trust,26/09/2018,Not Applic
NC1,Nico Resources Limited,19/01/2022,Materials
NC6,Nanollose Limited,18/10/2017,"Pharmaceuticals, Biotechnology & Life Sciences"
NCC,Naos Emerging Opportunities Company Limited,26/02/2013,Not Applic
NCK,Nick Scali Limited,26/05/2004,Retailing
NCL,Netccentric Limited,6/07/2015,Media & Entertainment
NCM,Newcrest Mining Limited,4/06/1987,Materials
NCR,Nucoal Resources Limited,31/05/1996,Materials
NCZ,New Century Resources Limited,8/12/2010,Materials
NEA,Nearmap Ltd,7/12/2000,Software & Services
NEC,Nine Entertainment Co. Holdings Limited,6/12/2013,Media & Entertainment
NES,Nelson Resources Limited.,7/12/2017,Materials
NESN,Nelson Resources Limited.,7/12/2017,Materials
NET,Netlinkz Limited,13/01/2011,Software & Services
NEU,Neuren Pharmaceuticals Limited,3/02/2005,"Pharmaceuticals, Biotechnology & Life Sciences"
NEW,New Energy Solar Limited,4/12/2017,Utilities
NFL,Norfolk Metals Limited,22/03/2022,Materials
NGE,Nge Capital Limited,28/12/2007,Not Applic
NGI,Navigator Global Investments Limited,28/04/2006,Diversified Financials
NGL,Nightingale Intelligent Systems Inc,,Capital Goods
NGS,Nutritional Growth Solutions Ltd,30/10/2020,Household & Personal Products
NGY,Nuenergy Gas Limited,15/01/1987,Energy
NHC,New Hope Corporation Limited,16/09/2003,Energy
NHE,Noble Helium Limited,8/04/2022,Energy
NHF,Nib Holdings Limited,5/11/2007,Insurance
NIC,Nickel Industries Limited,20/08/2018,Materials
NIM,Nimy Resources Limited,22/11/2021,Materials
NIS,Nickelsearch Limited,18/10/2021,Materials
NKL,Nickelx Limited,7/05/2021,Materials
NME,Nex Metals Exploration Limited,6/12/2007,Materials
NML,Navarre Minerals Limited,31/03/2011,Materials
NMR,Native Mineral Resources Holdings Limited,16/11/2020,Materials
NMT,Neometals Ltd,10/07/2002,Materials
NNG,Nexion Group Ltd,18/02/2021,Software & Services
NNL,Nordic Nickel Limited,1/06/2022,Materials
NOL,Nobleoak Life Limited,22/07/2021,Insurance
NOR,Norwood Systems Limited,27/06/1995,Software & Services
NOU,Noumi Limited,7/11/1985,"Food, Beverage & Tobacco"
NOV,Novatti Group Limited,18/01/2016,Software & Services
NOX,Noxopharm Limited,9/08/2016,"Pharmaceuticals, Biotechnology & Life Sciences"
NPM,Newpeak Metals Limited,11/04/2011,Materials
NPR,Newmark Property Reit,6/12/2021,Real Estate
NRL,Northam Resources Limited,,Class Pend
NRX,Noronex Limited,15/11/2017,Materials
NRZ,Neurizer Ltd,17/03/2005,Energy
NSB,Neuroscientific Biopharmaceuticals Ltd,27/07/2018,"Pharmaceuticals, Biotechnology & Life Sciences"
NSC,Naos Small Cap Opportunities Company Limited,25/03/2004,Not Applic
NSM,North Stawell Minerals Ltd,24/09/2020,Materials
NSR,National Storage Reit,19/12/2013,Real Estate
NST,Northern Star Resources Ltd,17/12/2003,Materials
NSX,Nsx Limited,13/01/2005,Diversified Financials
NTD,National Tyre & Wheel Limited,15/12/2017,Retailing
NTI,Neurotech International Limited,4/11/2016,Health Care Equipment & Services
NTL,New Talisman Gold Mines Limited,28/05/1987,Materials
NTM,Nt Minerals Limited,22/12/1993,Materials
NTO,Nitro Software Limited,11/12/2019,Software & Services
NTU,Northern Minerals Limited,15/11/2006,Materials
NUC,Nuchev Limited,9/12/2019,"Food, Beverage & Tobacco"
NUF,Nufarm Limited,10/11/1988,Materials
NUH,Nuheara Limited,5/03/2010,Technology Hardware & Equipment
NVA,Nova Minerals Limited,11/06/1987,Materials
NVU,Nanoveu Limited,30/11/2018,Technology Hardware & Equipment
NVX,Novonix Limited,2/12/2015,Technology Hardware & Equipment
NWC,New World Resources Limited,21/09/2005,Materials
NWE,Norwest Energy Nl,19/09/1997,Energy
NWF,Newfield Resources Limited,8/06/2012,Materials
NWH,Nrw Holdings Limited,5/09/2007,Capital Goods
NWL,Netwealth Group Limited,20/11/2017,Diversified Financials
NWM,Norwest Minerals Limited,29/11/2018,Materials
NWS,News Corporation..,19/06/2013,Media & Entertainment
NWSLV,News Corporation..,19/06/2013,Media & Entertainment
NXG,Nexgen Energy (Canada) Ltd,2/07/2021,Energy
NXL,Nuix Limited,4/12/2020,Software & Services
NXM,Nexus Minerals Limited,23/02/2007,Materials
NXS,Next Science Limited,18/04/2019,Health Care Equipment & Services
NXT,Nextdc Limited,13/12/2010,Software & Services
NYM,Narryer Metals Limited,14/04/2022,Materials
NYR,Nyrada Inc.,16/01/2020,"Pharmaceuticals, Biotechnology & Life Sciences"
NZK,New Zealand King Salmon Investments Limited,19/10/2016,"Food, Beverage & Tobacco"
NZM,Nzme Limited,27/06/2016,Media & Entertainment
NZO,New Zealand Oil & Gas Limited,25/09/2020,Energy
NZS,New Zealand Coastal Seafoods Limited,19/06/2007,"Food, Beverage & Tobacco"
OAK,Oakridge International Limited,22/06/2007,Software & Services
OAR,Oar Resources Limited,17/12/1998,Materials
OAU,Ora Gold Limited,22/03/2001,Materials
OBL,Omni Bridgeway Limited,28/01/2000,Diversified Financials
OBM,Ora Banda Mining Ltd,29/10/2002,Materials
OCA,Oceania Healthcare Limited,5/05/2017,Health Care Equipment & Services
OCC,Orthocell Limited,12/08/2014,"Pharmaceuticals, Biotechnology & Life Sciences"
