ASXCode,CompanyName,ListingDate,GICsIndustryGroup
AMH,Amcil Limited,10/02/2000,Not Applic
AMI,Aurelia Metals Limited,8/05/2007,Materials
AML,Aeon Metals Limited.,14/06/2007,Materials
AMM,Armada Metals Limited,15/12/2021,Materials
AMN,Agrimin Limited,9/10/2007,Materials
AMO,Ambertech Limited,10/12/2004,Technology Hardware & Equipment
AMP,Amp Limited,15/06/1998,Diversified Financials
AMS,Atomos Limited,28/12/2018,Consumer Durables & Apparel
AMT,Allegra Orthopaedics Limited,5/12/2007,Health Care Equipment & Services
AMX,Aerometrex Limited,10/12/2019,Commercial & Professional Services
AN1,Anagenics Limited,9/12/2005,"Pharmaceuticals, Biotechnology & Life Sciences"
AND,Ansarada Group Limited,14/02/2020,Software & Services
ANG,Austin Engineering Limited,9/03/2004,Capital Goods
ANL,Amani Gold Limited,14/12/2006,Materials
ANN,Ansell Limited,22/08/1985,Health Care Equipment & Services
ANO,Advance Zinctek Limited,24/02/2005,Materials
ANP,Antisense Therapeutics Limited,20/12/2001,"Pharmaceuticals, Biotechnology & Life Sciences"
ANR,Anatara Lifesciences Ltd,16/10/2014,"Pharmaceuticals, Biotechnology & Life Sciences"
ANX,Anax Metals Limited,15/06/2004,Materials
ANZ,Australia And New Zealand Banking Group Limited,30/09/1969,Banks
AO1,Assetowl Limited,30/05/2011,Software & Services
AOA,Ausmon Resources Limited,31/03/2009,Materials
AOF,Australian Unity Office Fund,20/06/2016,Real Estate
AON,Apollo Minerals Limited,31/10/2007,Materials
AOU,Auroch Minerals Ltd,1/09/2011,Materials
APA,Apa Group,13/06/2000,Utilities
APC,Australian Potash Limited,20/12/2011,Materials
APE,Eagers Automotive Limited,17/04/1957,Retailing
APG,Austpac Resources Nl,24/07/1986,Materials
APM,Apm Human Services International Limited,12/11/2021,Commercial & Professional Services
APS,Allup Silica Limited,2/05/2022,Materials
APW,Aims Property Securities Fund,17/12/2004,Real Estate
APX,Appen Limited,7/01/2015,Software & Services
APZ,Aspen Group,11/04/1991,Real Estate
AQC,Australian Pacific Coal Limited,17/12/1999,Materials
AQD,Ausquest Limited,25/11/2003,Materials
AQI,Alicanto Minerals Limited,19/09/2012,Materials
AQN,Aquirian Limited,27/07/2021,Commercial & Professional Services
AQS,Aquis Entertainment Limited,2/12/2011,Consumer Services
AQX,Alice Queen Limited,9/09/2004,Materials
AQZ,Alliance Aviation Services Limited,20/12/2011,Transportation
AR1,Austral Resources Australia Ltd,3/11/2021,Materials
AR3,Australian Rare Earths Limited,1/07/2021,Materials
AR9,Archtis Limited,21/09/2018,Software & Services
ARA,Ariadne Australia Limited,12/10/1982,Commercial & Professional Services
ARB,Arb Corporation Limited.,26/06/1987,Automobiles & Components
ARC,Arc Funds Limited,14/04/2000,Diversified Financials
ARD,Argent Minerals Limited,3/04/2008,Materials
ARE,Argonaut Resources Nl,23/01/1986,Materials
ARF,Arena Reit.,13/06/2013,Real Estate
ARG,Argo Investments Limited,31/03/1963,Not Applic
ARL,Ardea Resources Limited,9/02/2017,Materials
ARN,Aldoro Resources Limited,13/09/2018,Materials
ARO,Astro Resources Nl,14/08/1986,Materials
ARR,American Rare Earths Limited,17/02/2011,Materials
ART,Airtasker Limited,23/03/2021,Media & Entertainment
ARU,Arafura Rare Earths Ltd,5/11/2003,Materials
ARV,Artemis Resources Limited,16/03/2007,Materials
ARX,Aroa Biosurgery Limited,24/07/2020,"Pharmaceuticals, Biotechnology & Life Sciences"
AS2,Askari Metals Limited,7/07/2021,Materials
ASB,Austal Limited,8/12/1998,Capital Goods
ASG,Autosports Group Limited.,16/11/2016,Retailing
ASH,Ashley Services Group Limited,21/08/2014,Commercial & Professional Services
ASM,Australian Strategic Materials Limited,30/07/2020,Materials
ASN,Anson Resources Limited,8/07/2010,Materials
ASO,Aston Minerals Limited,4/03/2011,Materials
ASP,Aspermont Limited.,27/04/2000,Media & Entertainment
ASQ,Australian Silica Quartz Group Ltd,22/10/2007,Materials
ASR,Asra Minerals Limited,30/06/1986,Materials
ASW,Advanced Share Registry Limited,10/06/2008,Diversified Financials
ASX,Asx Limited,14/10/1998,Diversified Financials
AT1,Atomo Diagnostics Limited,16/04/2020,Health Care Equipment & Services
ATA,Atturra Limited,22/12/2021,Software & Services
ATC,Altech Chemicals Ltd,27/01/2010,Materials
ATH,Alterity Therapeutics Limited,28/03/2000,"Pharmaceuticals, Biotechnology & Life Sciences"
ATL,Apollo Tourism & Leisure Ltd,4/11/2016,Automobiles & Components
ATM,Aneka Tambang (Persero) Tbk (Pt),9/08/1999,Materials
ATP,Atlas Pearls Ltd,31/12/1993,Consumer Durables & Apparel
ATR,Astron Corporation Limited,11/11/1983,Materials
ATS,Australis Oil & Gas Limited,25/07/2016,Energy
ATU,Atrum Coal Limited,24/07/2012,Materials
ATV,Activeport Group Ltd,20/10/2021,Software & Services
ATX,Amplia Therapeutics Limited,23/12/2013,"Pharmaceuticals, Biotechnology & Life Sciences"
AU1,The Agency Group Australia Ltd,18/12/2007,Real Estate
AUA,Audeara Limited,18/05/2021,Consumer Durables & Apparel
AUB,Aub Group Limited,16/11/2005,Insurance
AUC,Ausgold Limited,16/12/2009,Materials
AUE,Aurum Resources Limited,2/11/2021,Materials
AUH,Austchina Holdings Limited,17/03/2003,Energy
AUI,Australian United Investment Company Limited,1/01/1974,Not Applic
AUK,Aumake Limited.,7/12/2011,Retailing
AUN,Aurumin Limited,9/12/2020,Materials
AUQ,Alara Resources Limited,24/05/2007,Materials
AUR,Auris Minerals Limited,15/03/2001,Materials
AUT,Auteco Minerals Ltd,21/09/2005,Materials
AUZ,Australian Mines Limited,28/09/2001,Materials
AV1,Adveritas Limited,18/12/2012,Software & Services
AVA,Ava Risk Group Limited,11/05/2015,Technology Hardware & Equipment
AVC,Auctus Investment Group Limited,10/08/2011,Diversified Financials
AVD,Avada Group Limited,17/12/2021,Commercial & Professional Services
AVE,Avecho Biotechnology Limited,9/08/1993,"Pharmaceuticals, Biotechnology & Life Sciences"
AVG,Australian Vintage Ltd,26/03/1992,"Food, Beverage & Tobacco"
AVH,Avita Medical Inc.,24/06/2020,"Pharmaceuticals, Biotechnology & Life Sciences"
AVJ,Avjennings Limited,27/01/1994,Consumer Durables & Apparel
AVL,Australian Vanadium Limited,21/02/2007,Materials
AVM,Advance Metals Limited,20/12/2007,Materials
AVR,Anteris Technologies Ltd,24/03/2004,Health Care Equipment & Services
AVW,Avira Resources Ltd,9/01/2013,Materials
AVZ,Avz Minerals Limited,14/09/2007,Materials
AW1,American West Metals Limited,13/12/2021,Materials
AWC,Alumina Limited,31/10/1961,Materials
AWJ,Auric Mining Limited,12/02/2021,Materials
AWV,Anova Metals Limited,18/05/2011,Materials
AX1,Accent Group Limited,7/07/2004,Retailing
AX8,Accelerate Resources Limited,14/02/2018,Materials
AXE,Archer Materials Limited,14/08/2007,Semiconductors & Semiconductor Equipment
AXI,Axiom Properties Limited,31/01/1997,Real Estate
AXP,Axp Energy Limited,20/07/2006,Energy
AYA,Artrya Limited,26/11/2021,Health Care Equipment & Services
AYI,A1 Investments & Resources Ltd,2/10/2007,Diversified Financials
AYM,Australia United Mining Limited,19/09/2011,Materials
AYT,Austin Metals Limited,6/07/2011,Materials
AZI,Altamin Limited,24/12/2009,Materials
AZJ,Aurizon Holdings Limited,22/11/2010,Transportation
AZL,Arizona Lithium Limited,8/07/1971,Materials
AZS,Azure Minerals Limited,16/12/2003,Materials
AZY,Antipa Minerals Limited,20/04/2011,Materials
B4P,Beforepay Group Limited,17/01/2022,Diversified Financials
BAP,Bapcor Limited,24/04/2014,Retailing
BAS,Bass Oil Limited,30/09/2004,Energy
BAT,Battery Minerals Limited,29/10/2012,Materials
BBC,Bnk Banking Corporation Limited,22/05/2012,Banks
BBL,Brisbane Broncos Limited,12/05/1989,Media & Entertainment
BBN,Baby Bunting Group Limited,14/10/2015,Retailing
BBT,Bluebet Holdings Ltd,2/07/2021,Consumer Services
BBX,Bbx Minerals Limited,12/08/2005,Materials
BC8,Black Cat Syndicate Limited,30/01/2018,Materials
BCA,Black Canyon Limited,5/05/2021,Materials
BCB,Bowen Coking Coal Limited,22/06/1995,Materials
BCC,Beam Communications Holdings Limited,6/11/1986,Technology Hardware & Equipment
BCI,Bci Minerals Limited,15/12/2006,Materials
BCK,Brockman Mining Limited,11/01/2011,Materials
BCN,Beacon Minerals Limited,20/10/2006,Materials
BCT,Bluechiip Limited,9/06/2011,Technology Hardware & Equipment
BDG,Black Dragon Gold Corp.,29/08/2018,Materials
